Sept. 7, 2020   11:27:42
Amperometric i-t Curve
File: c:\users\asus\desktop\code\testData Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.2
Sample Interval (s) = 0.1
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 150.40s
ip = 6.189e-6A
Ap = 4.540e-5C

tp = 210.10s
ip = 4.571e-6A
Ap = 3.447e-5C

Time/sec, Current/A

1.000e-1, -9.970e-8
2.000e-1, -7.631e-8
3.000e-1, -5.396e-8
4.000e-1, -4.412e-8
5.000e-1, -2.935e-8
6.000e-1, -2.471e-8
7.000e-1, -1.306e-8
8.000e-1, -1.335e-8
9.000e-1, -1.607e-9
1.000e+0, -4.163e-9
1.100e+0, 7.009e-9
1.200e+0, 3.695e-9
1.300e+0, 1.411e-8
1.400e+0, 9.092e-9
1.500e+0, 1.989e-8
1.600e+0, 1.458e-8
1.700e+0, 2.424e-8
1.800e+0, 1.875e-8
1.900e+0, 2.907e-8
2.000e+0, 2.168e-8
2.100e+0, 3.087e-8
2.200e+0, 2.254e-8
2.300e+0, 3.276e-8
2.400e+0, 2.680e-8
2.500e+0, 3.541e-8
2.600e+0, 2.964e-8
2.700e+0, 3.882e-8
2.800e+0, 3.229e-8
2.900e+0, 3.911e-8
3.000e+0, 3.333e-8
3.100e+0, 3.958e-8
3.200e+0, 3.598e-8
3.300e+0, 4.138e-8
3.400e+0, 3.797e-8
3.500e+0, 4.251e-8
3.600e+0, 3.930e-8
3.700e+0, 4.299e-8
3.800e+0, 4.138e-8
3.900e+0, 4.356e-8
4.000e+0, 4.327e-8
4.100e+0, 4.460e-8
4.200e+0, 4.526e-8
4.300e+0, 4.640e-8
4.400e+0, 4.659e-8
4.500e+0, 4.517e-8
4.600e+0, 4.772e-8
4.700e+0, 4.535e-8
4.800e+0, 5.009e-8
4.900e+0, 4.640e-8
5.000e+0, 5.113e-8
5.100e+0, 4.611e-8
5.200e+0, 5.189e-8
5.300e+0, 4.715e-8
5.400e+0, 5.293e-8
5.500e+0, 4.659e-8
5.600e+0, 5.340e-8
5.700e+0, 4.744e-8
5.800e+0, 5.378e-8
5.900e+0, 4.545e-8
6.000e+0, 5.369e-8
6.100e+0, 4.801e-8
6.200e+0, 5.549e-8
6.300e+0, 4.848e-8
6.400e+0, 5.709e-8
6.500e+0, 4.848e-8
6.600e+0, 5.766e-8
6.700e+0, 4.914e-8
6.800e+0, 5.814e-8
6.900e+0, 5.066e-8
7.000e+0, 5.823e-8
7.100e+0, 5.151e-8
7.200e+0, 5.814e-8
7.300e+0, 5.113e-8
7.400e+0, 5.814e-8
7.500e+0, 5.236e-8
7.600e+0, 5.785e-8
7.700e+0, 5.321e-8
7.800e+0, 5.766e-8
7.900e+0, 5.482e-8
8.000e+0, 5.842e-8
8.100e+0, 5.539e-8
8.200e+0, 5.719e-8
8.300e+0, 5.634e-8
8.400e+0, 5.757e-8
8.500e+0, 5.785e-8
8.600e+0, 5.833e-8
8.700e+0, 5.946e-8
8.800e+0, 5.709e-8
8.900e+0, 5.899e-8
9.000e+0, 5.558e-8
9.100e+0, 6.060e-8
9.200e+0, 5.425e-8
9.300e+0, 6.154e-8
9.400e+0, 5.530e-8
9.500e+0, 6.041e-8
9.600e+0, 5.473e-8
9.700e+0, 6.344e-8
9.800e+0, 5.416e-8
9.900e+0, 6.334e-8
1.000e+1, 5.511e-8
1.010e+1, 6.363e-8
1.020e+1, 5.558e-8
1.030e+1, 6.297e-8
1.040e+1, 5.558e-8
1.050e+1, 6.315e-8
1.060e+1, 5.795e-8
1.070e+1, 6.476e-8
1.080e+1, 5.956e-8
1.090e+1, 6.249e-8
1.100e+1, 5.776e-8
1.110e+1, 6.126e-8
1.120e+1, 5.956e-8
1.130e+1, 6.003e-8
1.140e+1, 6.117e-8
1.150e+1, 5.889e-8
1.160e+1, 6.117e-8
1.170e+1, 5.994e-8
1.180e+1, 6.268e-8
1.190e+1, 5.918e-8
1.200e+1, 6.429e-8
1.210e+1, 5.804e-8
1.220e+1, 6.363e-8
1.230e+1, 5.833e-8
1.240e+1, 6.107e-8
1.250e+1, 5.956e-8
1.260e+1, 6.723e-8
1.270e+1, 5.880e-8
1.280e+1, 6.675e-8
1.290e+1, 5.889e-8
1.300e+1, 6.704e-8
1.310e+1, 5.975e-8
1.320e+1, 6.675e-8
1.330e+1, 6.031e-8
1.340e+1, 6.609e-8
1.350e+1, 6.202e-8
1.360e+1, 6.590e-8
1.370e+1, 6.325e-8
1.380e+1, 6.524e-8
1.390e+1, 6.467e-8
1.400e+1, 6.353e-8
1.410e+1, 6.486e-8
1.420e+1, 6.306e-8
1.430e+1, 6.628e-8
1.440e+1, 6.240e-8
1.450e+1, 6.704e-8
1.460e+1, 6.126e-8
1.470e+1, 6.902e-8
1.480e+1, 6.098e-8
1.490e+1, 6.855e-8
1.500e+1, 6.031e-8
1.510e+1, 6.997e-8
1.520e+1, 6.145e-8
1.530e+1, 6.855e-8
1.540e+1, 6.192e-8
1.550e+1, 6.808e-8
1.560e+1, 6.192e-8
1.570e+1, 6.874e-8
1.580e+1, 6.372e-8
1.590e+1, 6.694e-8
1.600e+1, 6.278e-8
1.610e+1, 6.571e-8
1.620e+1, 6.618e-8
1.630e+1, 6.495e-8
1.640e+1, 6.581e-8
1.650e+1, 6.467e-8
1.660e+1, 6.779e-8
1.670e+1, 6.457e-8
1.680e+1, 6.931e-8
1.690e+1, 6.306e-8
1.700e+1, 7.063e-8
1.710e+1, 6.306e-8
1.720e+1, 7.205e-8
1.730e+1, 6.325e-8
