Time/sec, Current/A

1.000e-1, 1.010e-6
2.000e-1, 1.010e-6
3.000e-1, 1.010e-6
4.000e-1, 1.010e-6
5.000e-1, 1.010e-6
6.000e-1, 1.010e-6
7.000e-1, 1.010e-6
8.000e-1, 1.010e-6
9.000e-1, 1.010e-6
1.000e+0, 1.010e-6
1.100e+0, 1.010e-6
1.200e+0, 1.010e-6
1.300e+0, 1.010e-6
1.400e+0, 1.010e-6
1.500e+0, 1.010e-6
1.600e+0, 1.010e-6
1.700e+0, 1.010e-6
1.800e+0, 1.010e-6
1.900e+0, 1.010e-6
2.000e+0, 1.010e-6
2.100e+0, 1.010e-6
2.200e+0, 1.010e-6
2.300e+0, 1.010e-6
2.400e+0, 1.010e-6
2.500e+0, 1.010e-6
2.600e+0, 1.010e-6
2.700e+0, 1.010e-6
2.800e+0, 1.010e-6
2.900e+0, 1.001e-6
3.000e+0, 6.568e-7
3.100e+0, 5.777e-7
3.200e+0, 5.243e-7
3.300e+0, 4.865e-7
3.400e+0, 4.655e-7
3.500e+0, 4.484e-7
3.600e+0, 4.309e-7
3.700e+0, 4.082e-7
3.800e+0, 3.827e-7
3.900e+0, 3.670e-7
4.000e+0, 3.615e-7
4.100e+0, 3.552e-7
4.200e+0, 3.454e-7
4.300e+0, 3.268e-7
4.400e+0, 3.096e-7
4.500e+0, 3.028e-7
4.600e+0, 3.013e-7
4.700e+0, 2.989e-7
4.800e+0, 2.883e-7
4.900e+0, 2.738e-7
5.000e+0, 2.622e-7
5.100e+0, 2.590e-7
5.200e+0, 2.616e-7
5.300e+0, 2.582e-7
5.400e+0, 2.484e-7
5.500e+0, 2.351e-7
5.600e+0, 2.273e-7
5.700e+0, 2.275e-7
5.800e+0, 2.314e-7
5.900e+0, 2.279e-7
6.000e+0, 2.155e-7
6.100e+0, 2.057e-7
6.200e+0, 2.002e-7
6.300e+0, 2.044e-7
6.400e+0, 2.072e-7
6.500e+0, 2.022e-7
6.600e+0, 1.918e-7
6.700e+0, 1.821e-7
6.800e+0, 1.809e-7
6.900e+0, 1.856e-7
7.000e+0, 1.882e-7
7.100e+0, 1.816e-7
7.200e+0, 1.705e-7
7.300e+0, 1.642e-7
7.400e+0, 1.647e-7
7.500e+0, 1.712e-7
7.600e+0, 1.721e-7
7.700e+0, 1.632e-7
7.800e+0, 1.534e-7
7.900e+0, 1.493e-7
8.000e+0, 1.539e-7
8.100e+0, 1.594e-7
8.200e+0, 1.758e-7
8.300e+0, 5.927e-7
8.400e+0, 4.274e-7
8.500e+0, 1.243e-7
8.600e+0, 1.364e-7
8.700e+0, 4.559e-7
8.800e+0, 4.792e-7
8.900e+0, 1.321e-7
9.000e+0, 1.149e-7
9.100e+0, 1.231e-7
9.200e+0, 1.312e-7
9.300e+0, 1.321e-7
9.400e+0, 1.239e-7
9.500e+0, 1.165e-7
9.600e+0, 1.155e-7
9.700e+0, 1.230e-7
9.800e+0, 1.276e-7
9.900e+0, 1.234e-7
1.000e+1, 1.140e-7
1.010e+1, 1.087e-7
1.020e+1, 1.139e-7
1.030e+1, 1.204e-7
1.040e+1, 1.198e-7
1.050e+1, 1.129e-7
1.060e+1, 1.042e-7
1.070e+1, 1.045e-7
1.080e+1, 1.115e-7
1.090e+1, 1.157e-7
1.100e+1, 1.125e-7
1.110e+1, 1.017e-7
1.120e+1, 9.756e-8
1.130e+1, 1.031e-7
1.140e+1, 1.094e-7
1.150e+1, 1.090e-7
1.160e+1, 1.014e-7
1.170e+1, 9.298e-8
1.180e+1, 9.423e-8
1.190e+1, 1.016e-7
1.200e+1, 1.057e-7
1.210e+1, 1.009e-7
1.220e+1, 9.120e-8
1.230e+1, 8.813e-8
1.240e+1, 9.357e-8
1.250e+1, 1.010e-7
1.260e+1, 1.003e-7
1.270e+1, 9.181e-8
1.280e+1, 8.430e-8
1.290e+1, 8.595e-8
1.300e+1, 9.322e-8
1.310e+1, 9.719e-8
1.320e+1, 9.265e-8
1.330e+1, 8.370e-8
1.340e+1, 7.956e-8
1.350e+1, 8.640e-8
1.360e+1, 9.295e-8
1.370e+1, 9.198e-8
1.380e+1, 8.350e-8
1.390e+1, 7.682e-8
1.400e+1, 7.906e-8
1.410e+1, 8.664e-8
1.420e+1, 9.052e-8
1.430e+1, 8.546e-8
1.440e+1, 7.617e-8
1.450e+1, 7.370e-8
1.460e+1, 8.031e-8
1.470e+1, 8.726e-8
1.480e+1, 8.553e-8
1.490e+1, 7.717e-8
1.500e+1, 7.024e-8
1.510e+1, 7.413e-8
1.520e+1, 8.224e-8
1.530e+1, 8.503e-8
1.540e+1, 7.812e-8
1.550e+1, 6.971e-8
1.560e+1, 6.830e-8
1.570e+1, 7.646e-8
1.580e+1, 8.250e-8
1.590e+1, 7.934e-8
1.600e+1, 7.053e-8
1.610e+1, 6.573e-8
1.620e+1, 6.982e-8
1.630e+1, 7.748e-8
1.640e+1, 7.962e-8
1.650e+1, 7.265e-8
1.660e+1, 6.465e-8
1.670e+1, 6.423e-8
1.680e+1, 7.233e-8
1.690e+1, 7.783e-8
1.700e+1, 7.421e-8
1.710e+1, 6.582e-8
1.720e+1, 6.094e-8
1.730e+1, 6.550e-8
1.740e+1, 7.367e-8
1.750e+1, 7.497e-8
1.760e+1, 6.711e-8
1.770e+1, 5.997e-8
1.780e+1, 6.131e-8
1.790e+1, 6.870e-8
1.800e+1, 7.428e-8
1.810e+1, 6.858e-8
1.820e+1, 6.056e-8
1.830e+1, 5.761e-8
1.840e+1, 6.350e-8
1.850e+1, 7.113e-8
1.860e+1, 7.038e-8
1.870e+1, 6.176e-8
1.880e+1, 5.602e-8
1.890e+1, 5.830e-8
1.900e+1, 6.743e-8
1.910e+1, 7.033e-8
1.920e+1, 6.355e-8
1.930e+1, 5.593e-8
1.940e+1, 1.761e-7
1.950e+1, 3.150e-7
1.960e+1, 2.766e-7
1.970e+1, 2.533e-7
1.980e+1, 2.343e-7
1.990e+1, 2.221e-7
2.000e+1, 2.245e-7
2.010e+1, 2.261e-7
2.020e+1, 2.238e-7
2.030e+1, 2.131e-7
2.040e+1, 2.033e-7
2.050e+1, 2.045e-7
2.060e+1, 2.122e-7
2.070e+1, 2.142e-7
2.080e+1, 2.077e-7
2.090e+1, 1.977e-7
2.100e+1, 1.966e-7
2.110e+1, 2.031e-7
